[01:37:53.122438][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.128309][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.128365][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.128448][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.128506][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.129253][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.129304][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.129373][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.129887][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.129961][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.130010][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.130089][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.130127][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.130647][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.130705][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.130879][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.130922][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.130987][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.131034][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.131533][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.131590][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.131654][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.131701][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.131766][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.131818][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.131891][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.131942][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.132464][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.133559][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.133772][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.133842][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.133934][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.134009][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.134063][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.134190][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.134295][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.134608][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.134793][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.134849][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.135058][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.135112][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.135617][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.135691][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.135758][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.135825][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.135936][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.136009][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.136547][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.136599][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.137144][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.137196][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.137375][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.137424][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.137491][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.137532][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.138042][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.138093][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.138155][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.138217][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.138504][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.138544][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.138797][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.138835][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.139341][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.140429][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.140546][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.140604][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.140695][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.140813][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.140952][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.141065][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.141250][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.141490][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.141704][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.141756][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.141828][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.141926][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.142468][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.142536][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.142602][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.142671][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.142744][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.142786][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
[01:37:53.142911][HL_GCFG][debug][tid:8052] setValue: configuration parameter name=ENABLE_TRANSPOSE_VIA_GEMM, value=0
